银行名称,外部资产
株式会社三菱東京UFJ銀行,10913392
株式会社三井住友銀行,10232198
株式会社りそな銀行,2331075
株式会社北海道銀行,596114
株式会社青森銀行,89807
株式会社秋田銀行,133179
株式会社北都銀行,-616715
株式会社山形銀行,150549
株式会社岩手銀行,157565
株式会社東北銀行,-127757
株式会社七十七銀行,511316
株式会社東邦銀行,-2604569
株式会社群馬銀行,523137
株式会社足利銀行,952556
株式会社筑波銀行,104097
株式会社武蔵野銀行,250554
株式会社千葉銀行,907021
株式会社千葉興業銀行,-510281
株式会社横浜銀行,1045260
株式会社第四銀行,-2325479
株式会社山梨中央銀行,-684007
株式会社八十二銀行,892699
株式会社北陸銀行,596114
株式会社福井銀行,-1059599
株式会社静岡銀行,1016866
株式会社清水銀行,-129119
株式会社大垣共立銀行,314720
株式会社十六銀行,367604
株式会社百五銀行,396278
株式会社滋賀銀行,455770
株式会社京都銀行,944297
株式会社近畿大阪銀行,2331075
株式会社池田泉州銀行,250492
株式会社南都銀行,286474
株式会社紀陽銀行,242850
株式会社鳥取銀行,-800149
株式会社山陰合同銀行,353191
株式会社中国銀行,106033
株式会社阿波銀行,270046
株式会社百十四銀行,274607
株式会社伊予銀行,731799
株式会社四国銀行,154622
株式会社佐賀銀行,115786
株式会社肥後銀行,671481
株式会社大分銀行,198073
株式会社宮崎銀行,158119
株式会社鹿児島銀行,671481
株式会社琉球銀行,133370
株式会社西日本シティ銀行,530725
株式会社セブン銀行,154169
楽天銀行株式会社,195678
住信SBIネット銀行株式会社,145393
株式会社じぶん銀行,2933758
株式会社イオン銀行,280492
株式会社大和ネクスト銀行,140667
三菱UFJ信託銀行株式会社,14980761
みずほ信託銀行株式会社,8261024
三井住友信託銀行株式会社,2740289
日本マスタートラスト信託銀行,-5444157
ステート・ストリート信託銀行,3266723
SMBC信託銀行,-1340160
野村信託銀行株式会社,-226570
オリックス銀行株式会社,48287
あおぞら信託銀行株式会社,254285
農中信託銀行株式会社,11083
日証金信託銀行株式会社,-773161
株式会社新銀行東京,313217
